desc,tsne_x,tsne_y,desc_clear,target,target_num
"Школа Бортпроводников, общий вид площадок, объектов , самолетов. Зеленые насаждения.",29.325033,51.04484,школа бортпроводник общий вид площадка объект самолет зеленый насаждение,школа,75
"Аэропорт, просторные внутренние пространства, эскалатор, металлические конструкции перекрытия.",-71.643585,21.502415,аэропорт просторный внутренний пространство эскалатор металлический конструкция перекрытие,аэропорт,5
"Аэропорт, большие внутренние объемы помещений, колонны, большие площади остекления, открытые металлические конструкции.",-53.53884,36.60783,аэропорт большой внутренний объем помещение колонна большой площадь остекление открытый металлический конструкция,аэропорт,5
Ангар для стоянки бизнес-джетов.,-72.26179,-2.5484784,ангар стоянка бизнес джет,ангар,2
Ангар для самолетов и вертолетов.,24.986904,52.901577,ангар самолет вертолет,ангар,2
"Салон cамолета, кабина.",-9.1453495,-34.397278,салон самолет кабина,салон,59
"Самолет Ил-76, внешний вид , фюзеляж, кабина.",45.49639,6.497506,самолет ил 76 внешний вид фюзеляж кабина,самолет,60
"Тренажер для обучения бортпроводников, имитирующий салон самолета",6.3428264,-66.21472,тренажер обучение бортпроводник имитировать салон самолет,салон,59
Темное пространство .,32.356483,-28.594244,темный пространство,пространство,54
Одноэтажный автосервис с синими стенами.,18.809332,18.283243,одноэтажный автосервис синий стена,автосервис,1
Большой двухуровневый автосалон.,27.242115,11.321437,большой двухуровневый автосалон,none,0
Автомойка с большими окнами .,28.473518,18.055584,автомойка большой окно,none,0
Автосервис с большими окнами.,31.243692,17.872793,автосервис большой окно,автосервис,1
"Гаражно-строительный кооператив, советская постройка, объекты из красного кирпича, природа и город на заднем плане.",-17.24122,13.316505,гаражно-строительный кооператив советский постройка объект красный кирпич природа город задний план,none,0
"Гаражно-строительный кооператив, урбанистика, объекты из металла.",8.803192,14.876519,гаражно-строительный кооператив урбанистика объект металл,none,0
"Гаражно-строительный кооператив, советская постройка, гаражи из металла , фактурные ржавые поверхности, урбанистическая панорама.",-17.23086,13.339168,гаражно-строительный кооператив советский постройка гараж металл фактурный ржавый поверхность урбанистический панорама,гараж,15
"Хорошо асфальтированная дорога, в городской среде, проходящая возле водного природного раздела.",-20.834637,-1.6893152,асфальтировать дорога городской среда проходить возле водный природный раздел,дорога,19
"Извилистая трасса, покрытая асфальтовой крошкой.",-2.2872996,-8.1981,извилистый трасса покрывать асфальтовый крошка,none,0
Качественная трасса для автогонок.,8.491956,15.275578,качественный трасса автогонки,none,0
"Автодром, предназначенный для проведения соревнований по автомобильным кольцевым гонкам и шоссейно-кольцевым мотогонкам.",6.368525,-6.8353286,автодром предназначать проведение соревнование автомобильный кольцевой гонка шоссейный кольцевой мотогонки,none,0
Заправка,4.838946,-16.802485,заправка,none,0
Заправка,4.8381696,-16.821138,заправка,none,0
Заправка,4.8505797,-16.877113,заправка,none,0
"Концертный зал , танцевальный зал , подземный паркинг и офис.",11.194339,-16.744371,концертный зал танцевальный зал подземный паркинг офис,зал,20
"Многоуровневая парковка с интересным решением фасада- бионика, уютная рекреационная зона.",-19.834412,13.167916,многоуровневый парковка интересный решение фасад бионика уютный рекреационный зона,парковка,44
"Многоуровневая парковка. Ж/б конструкции, металлические ограждения.",22.799713,-32.50597,многоуровневый парковка б конструкция металлический ограждение,парковка,44
Крытая автомобильная парковка. Желтые стены.,-1.0169228,-7.403607,крытый автомобильный парковка желтый стена,парковка,44
"Открытая площадка в городской среде, строение из красного кирпича.",-21.371822,-4.3447456,открытый площадка городской среда строение красный кирпич,площадка,46
"Открытая площадка, строения из красного кирпича.",-22.172264,-4.8490005,открытый площадка строение красный кирпич,площадка,46
"Площадка, строение из красного кирпича, наружные, открытые инженерные элементы  коммуникации.",-20.263582,-3.5989118,площадка строение красный кирпич наружный открытый инженерный элемент коммуникация,площадка,46
"Парковка на крыше , панорамный вид города.",5.032814,-36.656254,парковка крыша панорамный вид город,парковка,44
Пространство с множеством комнат (аудитории и лекторные залы).,23.74301,-13.083987,пространство множество комната аудитория лекторный зал,пространство,54
"Большое помещение с бассейном, баней и верандой .",24.94866,8.157416,большой помещение бассейн баня веранда,помещение,51
"Публичная площадка, светлое пространство, высокие потолки, большие окна. Место для проведения деловых мероприятий.",19.1873,-43.832783,публичный площадка светлый пространство высокий потолок большой окно место проведение деловой мероприятие,площадка,46
"Небольшое пространство, включающее основной зал и зону кафе",17.023077,-0.5625243,небольшой пространство включать основной зал зона кафе,пространство,54
"Банк, высокие потолки, светлое пространство.",23.550625,-38.36686,банк высокий потолок светлый пространство,пространство,54
"Самолет Ил-76, внешний вид , фюзеляж, кабина.",45.494934,6.49372,самолет ил 76 внешний вид фюзеляж кабина,самолет,60
"Самолет Ил-76, внешний вид , фюзеляж, кабина.",45.496483,6.4950533,самолет ил 76 внешний вид фюзеляж кабина,самолет,60
"Школа Бортпроводников, общий вид площадок, объектов , самолетов. Зеленые насаждения. Test",29.319056,51.055218,школа бортпроводник общий вид площадка объект самолет зеленый насаждение test,школа,75
"Аэропорт, просторные внутренние пространства, эскалатор, металлические конструкции перекрытия.",-72.907745,21.576752,аэропорт просторный внутренний пространство эскалатор металлический конструкция перекрытие,аэропорт,5
"Аэропорт, большие внутренние объемы помещений, колонны, большие площади остекления, открытые металлические конструкции.",-54.104633,36.97227,аэропорт большой внутренний объем помещение колонна большой площадь остекление открытый металлический конструкция,аэропорт,5
Ангар для стоянки бизнес-джетов.,-71.99922,-2.1283798,ангар стоянка бизнес джет,ангар,2
Ангар для самолетов и вертолетов.,24.983725,52.906067,ангар самолет вертолет,ангар,2
"Салон cамолета, кабина.",-9.152281,-34.398266,салон самолет кабина,салон,59
"Самолет Ил-76, внешний вид , фюзеляж, кабина.",45.49643,6.494587,самолет ил 76 внешний вид фюзеляж кабина,самолет,60
Темное пространство .,31.618387,-28.100843,темный пространство,пространство,54
Одноэтажный автосервис с синими стенами.,18.868345,18.26128,одноэтажный автосервис синий стена,автосервис,1
"Большое светлое пространство в современной стилистике, большая площадь остекления, открытые элементы конструкций, современный хай-тек стиль дизайна интерьера, белый пол, глянцевый пол.",45.179996,-16.858524,большой светлый пространство современный стилистика большой площадь остекление открытый элемент конструкция современный хай течь стиль дизайн интерьер белый пол глянцевый пол,пространство,54
Большой двухуровневый автосалон.,27.231955,11.262272,большой двухуровневый автосалон,none,0
Автомойка с большими окнами .,28.400652,18.07944,автомойка большой окно,none,0
Небольшой светлый холл на первом этаже с панорамными окнами,24.891554,7.0377517,небольшой светлый холл первый этаж панорамный окно,холл,73
Зал с белыми стенами и небольшой сценой,27.028164,0.7151321,зал белый стена небольшой сцена,зал,20
Офис + коворкинг с цветными стенами (5 комнат).,18.079735,18.616436,офис коворкинг цветной стена 5 комната,офис,42
Офис-коворкинг в черно-белых тонах.,12.033696,26.320965,офис коворкинг черно-белый тон,офис,42
"Коворкинг с кирпичной отделкой , небольшим кафе и кухней.",16.88057,-3.348925,коворкинг кирпичный отделка небольшой кафе кухня,кафе,25
"Концертный зал , танцевальный зал , подземный паркинг и офис.",11.185338,-16.747566,концертный зал танцевальный зал подземный паркинг офис,зал,20
Переговоры в разных стилях.,11.450275,15.684341,переговоры разный стиль,none,0
"Переговорная с современным интерьером в светлых тонах с большими окнами и винтовой лестницей,  26 посадочных мест.",33.09619,26.072317,переговорный современный интерьер светлый тон большой окно винтовой лестница 26 посадочный место,интерьер,23
Белый дом в центре Москвы со своей парковкой.,16.445341,-6.2559104,белый дом центр москва свой парковка,дом,18
Территория жилого комплекса с прогулочной аллеей и велодорожками.,-10.148834,5.467543,территория жилой комплекс прогулочный аллея велодорожка,комплекс,32
"Высотный жилой комплекс в Москве, состоящий из шести корпусов. Собственный яхт-клуб.",-10.585236,14.435561,высотный жилой комплекс москва состоять шесть корпус собственный яхт-клуб,комплекс,32
Территория среди объектов современного стиля.,24.59007,19.789341,территория среди объект современный стиль,none,0
"Комплекс представляет собой единый архитектурный ансамбль, выполненный в стиле хай-тек, с панорамным остеклением фасадов. Он состоит из трёх монолитных башен переменной этажности (3-14 этажей), которые соединяются на уровне седьмого этажа стилобатом. В этой части комплекса располагаются офисные помещения, объекты внутренней инфраструктуры и торговые площадки.",-1.5769151,2.2749512,"комплекс представлять единый архитектурный ансамбль выполнять стиль хаять течь панорамный остекление фасад состоять монолитный башня переменный этажность 3 14 этаж ),  который соединяться уровень седьмой этаж стилобат часть комплекс располагаться офисный помещение объект внутренний инфраструктура торговый площадка",комплекс,32
"Здание выполнено в современной архитектурной концепции с использованием передовых инженерных технологий. В бизнес центре большие окна и просторное лобби, занимающее два этажа, а также кабинеты со свободной планировкой.",26.173801,15.442047,здание выполнять современный архитектурный концепция использование передовой инженерный технология бизнес центр большой окно просторный лобби занимать этаж также кабинет свободный планировка,здание,22
"Дизайн интерьера бизнес центра исполнен в современном стиле хай-тек. Основной особенностью здания является два последних VIP этажа (13-14) с просторными террасами, отдельными лифтами и свободной планировкой. Среди объектов инфраструктуры бизнес центра  следует отметить: столовую для сотрудников, фитнес клуб с бассейном, парковка со 2 по 5 этаж здания, кафе, маникюрный салон, отделение банка. ",-1.9014872,1.3715829,дизайн интерьер бизнес центр исполнять современный стиль хаять течь основной особенность здание являться последний vip этаж 13 14 просторный терраса отдельный лифт свободный планировка среди объект инфраструктура бизнес центр следовать отмечать столовая сотрудник фитнес клуб бассейн парковка 2 5 этаж здание кафе маникюрный салон отделение банк,интерьер,23
"Этот комплекс сочетает в себе оборудованные уютные офисные помещения и обширные территории складов с потолками высотой от 3 метров. Для удобства перемещения работают пассажирские лифты, а для разгрузки товара есть грузовой лифт (грузоподъемность до 1 тонны) и пандусы. Все этажи здания подключены к системе центрального отопления, установлена противопожарная сигнализация. На прилегающей территории имеется парковка и временная стоянка для фур и грузовых автомобилей. Офисные помещения смешанной планировки можно удобно оборудовать всем необходимым для ведения дел. На территории комплекса есть столовая, где можно перекусить в обеденный перерыв, и несколько торговых точек.",-6.715484,1.9516954,комплекс сочетать оборудовать уютный офисный помещение обширный территория склад потолок высота 3 метр удобство перемещение работать пассажирский лифт разгрузка товар грузовой лифт грузоподъемность 1 тонна пандус весь этаж здание подключать система центральный отопление устанавливать противопожарный сигнализация прилегать территория иметься парковка временный стоянка фура грузовой автомобиль офисный помещение смешанный планировка удобно оборудовать необходимый ведение дело территория комплекс столовая перекусить обеденный перерыв несколько торговый точка,комплекс,32
"I would be happy to invite the guests to my cozy, bright 2-room apartment one minute from the metro station. Just 20 minutes to Red Square and the city center by metro.The apartment is for 4 people. There is everything you need for a comfortable staying. Буду рада предложить гостям свою уютную светлую 2-комнатную квартиру в одной минуте от станции метро. Всего 20 минут до Красной площади и центра города на метро.Квартира для 4х человек, 7этаж. Есть все необходимое для комфортного проживания.",-4.5341306,2.178185,i would be happy to invite the guests to my cozy bright 2 room apartment one minute from the metro station just 20 minutes to red square and the city center by metro the apartment is for 4 people there is everything you need for a comfortable staying рад  гость свой уютный светлый 2 комнатный квартира минута станция метро 20 минута красный площадь центр город метро квартира 4х человек 7этаж необходимый комфортный проживание,квартира,27
