desc,tsne_x,tsne_y,desc_clear,target,target_num
"Школа Бортпроводников, общий вид площадок, объектов , самолетов. Зеленые насаждения.",14.751309,49.829834,школа бортпроводник общий вид площадка объект самолет зеленый насаждение,школа,75
"Аэропорт, просторные внутренние пространства, эскалатор, металлические конструкции перекрытия.",39.150135,-45.379948,аэропорт просторный внутренний пространство эскалатор металлический конструкция перекрытие,аэропорт,5
"Аэропорт, большие внутренние объемы помещений, колонны, большие площади остекления, открытые металлические конструкции.",55.534744,-43.00031,аэропорт большой внутренний объем помещение колонна большой площадь остекление открытый металлический конструкция,аэропорт,5
Ангар для стоянки бизнес-джетов.,63.43165,5.7122116,ангар стоянка бизнес джет,ангар,2
Ангар для самолетов и вертолетов.,15.954965,54.083347,ангар самолет вертолет,ангар,2
"Салон cамолета, кабина.",-4.926373,-47.126938,салон самолет кабина,салон,59
"Самолет Ил-76, внешний вид , фюзеляж, кабина.",37.316204,-7.695307,самолет ил 76 внешний вид фюзеляж кабина,самолет,60
"Тренажер для обучения бортпроводников, имитирующий салон самолета",11.618022,-65.15143,тренажер обучение бортпроводник имитировать салон самолет,салон,59
Темное пространство .,20.813997,2.8183339,темный пространство,пространство,54
Одноэтажный автосервис с синими стенами.,21.47765,18.700808,одноэтажный автосервис синий стена,автосервис,1
Большой двухуровневый автосалон.,26.502495,9.285695,большой двухуровневый автосалон,none,0
Автомойка с большими окнами .,30.885191,15.329491,автомойка большой окно,none,0
Автосервис с большими окнами.,33.66658,15.929654,автосервис большой окно,автосервис,1
"Гаражно-строительный кооператив, советская постройка, объекты из красного кирпича, природа и город на заднем плане.",-3.5492678,-21.420862,гаражно-строительный кооператив советский постройка объект красный кирпич природа город задний план,none,0
"Гаражно-строительный кооператив, урбанистика, объекты из металла.",-0.008309215,16.2708,гаражно-строительный кооператив урбанистика объект металл,none,0
"Гаражно-строительный кооператив, советская постройка, гаражи из металла , фактурные ржавые поверхности, урбанистическая панорама.",-3.5842686,-21.472475,гаражно-строительный кооператив советский постройка гараж металл фактурный ржавый поверхность урбанистический панорама,гараж,15
