token,freq
категория,1000
москва,257
квартира,244
дом,176
большой,169
пространство,165
офис,156
кафе,140
ресторан,139
съемка,131
кино,128
салон,124
зал,116
крыша,109
светлый,106
район,100
стиль,98
бизнес,91
предлагать,89
вид,85
тело,84
проект,84
проведение,80
лофт,80
самолет,79
современный,79
окно,76
магазин,76
загородный,72
центр,71
ангар,69
открытый,68
красота,68
джет,66
тц,66
комплекс,65
пресненский,65
помещение,64
бар,64
студия,63
классический,63
площадка,62
клиника,62
небольшой,60
частный,60
просторный,59
металлический,57
конструкция,57
клуб,57
таунхаус,57
площадь,56
аэропорт,55
парк,55
цао,55
басманный,55
парковка,54
интерьер,53
жилой,53
мастерская,53
переговорный,52
внутренний,50
кабинет,50
промзона,50
стена,49
здание,49
театр,49
отель,47
реклама,47
тон,46
территория,45
сериал,45
клип,45
спорт,44
конференц-зал,44
обучение,43
библиотека,41
ночной,41
фасад,40
дк,40
городской,37
бассейн,36
школа,35
автосервис,35
советский,35
панорамный,35
колонна,34
гараж,34
река,34
таганский,34
тверская,34
зеленый,33
город,33
зона,33
хамовник,33
остекление,32
стоянка,32
московский,32
гостиница,32
подъезд,31
арбат,31
дорога,30
футбол,30
тверской,30
концертный,29
подвал,29
спортивный,29
баскетболла,29
волейболла,29
теннис,29
красный,28
мо,28
галерея,27
фитнес-клуб,27
хостел,27
уютный,26
область,26
замоскворечье,26
детский,26
бортпроводник,25
перекрытие,25
ил,25
эскалатор,24
вертолет,24
среда,24
предназначать,24
элемент,24
комната,24
черный,24
хорошевский,24
объем,23
темный,23
улица,23
бокс,23
бизнес-центр,23
университет,23
тренажер,22
имитировать,22
холл,22
отделка,22
сотрудник,22
стадион,22
усадьба,22
даниловский,22
белый,21
86,21
гражданский,21
авиация,21
борьба,21
якиманка,20
северный,20
лес,20
насаждение,19
мероприятие,19
жк,19
дизайнерский,19
автотрасса,19
яркий,19
этаж,18
двор,18
теплый,18
двухуровневый,17
потолок,17
набережная,17
деревянный,17
кинотеатр,17
кирпичный,16
культура,16
озеро,16
беговой,16
больница,16
ярославский,16
кирпич,15
подземный,15
высокий,15
пол,15
цветной,15
гимнастический,15
манежы,15
южный,15
застройка,15
автомобильный,14
паркинг,14
кухня,14
свой,14
который,14
ремонт,14
кресло,14
располагать,14
рынок,14
дорогомилово,14
карьера,14
постройка,13
веранда,13
место,13
лестница,13
торговый,13
серый,13
сад,13
старый,13
стеклянный,13
поле,13
обручевский,13
живописный,13
бутырский,13
пляж,13
объект,12
танцевальный,12
сцена,12
отдых,12
граффити,12
завод,12
арт,12
ледовый,12
дачный,12
поселок,12
балкон,12
крупный,12
квартал,12
лаборатория,12
декор,12
актовый,12
множество,11
супермаркет,11
красивый,11
