Link,Description,Photo,Address,Price
https://kino-bank.com/listings/loft-na-2m-etazhe-bez-lifta/,Лофт на 2м этаже без лифта one,https://kino-bank.com//upload/iblock/ec0/ec00dc1cae386fcff1c5b1492cfeb92b.jpg https://kino-bank.com//upload/iblock/590/59001c072e586938ba6001d22b70fbab.jpg https://kino-bank.com//upload/iblock/513/513561b125f47cdca16cab8d93251ac5.jpg https://kino-bank.com//upload/iblock/fee/feea14db0f306528dc2fb7299ac36a7e.jpg https://kino-bank.com//upload/iblock/1c3/1c307e29136a1236bf44953673b6a3d7.jpg https://kino-bank.com//upload/iblock/78d/78d9746034d0d62835c81dd4027f08e6.jpg https://kino-bank.com//upload/iblock/729/7295514108ef670360654f63fef2a486.jpg https://kino-bank.com//upload/iblock/598/59831da4cff45879e697222d9f71077b.jpg https://kino-bank.com//upload/iblock/de9/de9797a0a5b731f90590abd52298ee01.jpg https://kino-bank.com//upload/iblock/dbb/dbb83e95ae1a722d977e1302262bf3e2.jpg https://kino-bank.com//upload/iblock/168/168d469fa21b3b9bd7ff842a87ba1ee0.jpg https://kino-bank.com//upload/iblock/cdc/cdc19dd805f4fc1d4afdb54c27957922.jpg,,0
https://kino-bank.com/listings/loft-3-wizard/,"Лофт №3 (Wizard) ",https://kino-bank.com//upload/iblock/376/376b6c962aa76ce91ec1c978911a296c.jpg https://kino-bank.com//upload/iblock/cba/cbac8360c0dc6e244c4b501ce814ad27.jpg https://kino-bank.com//upload/iblock/a1b/a1b9a4efc26471fb8998806ea574fb00.jpg https://kino-bank.com//upload/iblock/348/348773919f709606bbd3b6a4f925cca1.jpg https://kino-bank.com//upload/iblock/694/6943a78fea69f61d07f21e223ca06f05.jpg https://kino-bank.com//upload/iblock/a0f/a0faef87706d9611698cd6c815d40d3d.jpg https://kino-bank.com//upload/iblock/175/17563bc1bd28f76e703b3eb39130e27a.jpg https://kino-bank.com//upload/iblock/a11/a1134483f98c6fd01e5ef69cd82e44bd.jpg https://kino-bank.com//upload/iblock/99d/99d6088ce79c3b889c8ae79b9297a543.jpg,,0
https://kino-bank.com/listings/2kh-komnatnaya-kvartira-rayon-lefortovo/,"2х комнатная квартира, район Лефортово oneone",https://kino-bank.com//upload/iblock/fce/fce006df0b46a07321309e4ae0f6e2b6.gif https://kino-bank.com//upload/iblock/761/76169f0d690839bc8035eca1e5aabb01.gif https://kino-bank.com//upload/iblock/480/48002093c01d79e3e9b009790465f7ef.gif https://kino-bank.com//upload/iblock/ec7/ec77811136756b79d5e2550f2fdc3711.gif https://kino-bank.com//upload/iblock/8bf/8bf60a2ba3221beab292367e6d94ed12.gif https://kino-bank.com//upload/iblock/487/487124d2e260e0d5bcc0b36f37468725.gif https://kino-bank.com//upload/iblock/8dc/8dc7774fdb4de36afd7c21b29c49512e.gif https://kino-bank.com//upload/iblock/d0f/d0f502659f95fb774137ed4c7608fd55.gif https://kino-bank.com//upload/iblock/50d/50d3b2fc98c49b65359a2c4368cdc400.gif https://kino-bank.com//upload/iblock/fcd/fcdcaf9e4d3dc76be0e176288469cbf1.gif https://kino-bank.com//upload/iblock/7c8/7c80b3a20481b80eba458cd4471adbfd.gif,,0
https://kino-bank.com/listings/3kh-komnatnaya-kvartira-vdnkh/,"3х комнатная квартира ВДНХ ",https://kino-bank.com//upload/iblock/db1/db10db091309cb9723340c7dde948275.jfif https://kino-bank.com//upload/iblock/561/5614f4751c44d396dad26ebb1e997c68.jfif https://kino-bank.com//upload/iblock/eb0/eb070ebe4b38db431337b21d12ea3b08.jfif https://kino-bank.com//upload/iblock/750/7508871a832606571f169d922858108f.jfif https://kino-bank.com//upload/iblock/fba/fba90a66acf4cda5ef3b16e6571caeb8.jfif https://kino-bank.com//upload/iblock/d40/d401696311bebd92c26b552c63cf64ff.jfif https://kino-bank.com//upload/iblock/01c/01c80861fdffecad0464df099eb099b3.jfif https://kino-bank.com//upload/iblock/e38/e3826d0ad153a3ee8b5512efb93e1ba1.jfif https://kino-bank.com//upload/iblock/404/4048abfc3405adc672c38df2d3eb3d79.jfif https://kino-bank.com//upload/iblock/fa3/fa3f1470473bac6eaddeda875fad84f6.jfif https://kino-bank.com//upload/iblock/650/65072585d147ccb102801671ceef5f61.jfif https://kino-bank.com//upload/iblock/936/936f1e03addf123b1bcdaafa588d3474.jfif,,0
https://kino-bank.com/listings/prostaya-kvartira-obshchezhitie/,"Простая квартира - \""общежитие\"" Квартира требующая ремонта - с бедной обстановкой. Подойдет для съемок сцен эпохи СССР; По антуражу подходит как квартира наркомана, алкоголика, пенсионера.oneКвартира расположена на первом этаже. ",https://kino-bank.com//upload/iblock/8a0/8a0722d0f916deac6647dc78be02a76d.jpg https://kino-bank.com//upload/iblock/da1/da1f59050ba79559c18e38243834f6a2.jpg https://kino-bank.com//upload/iblock/bb6/bb66d9f150e9d91e848e29bb5c3d3677.jpg https://kino-bank.com//upload/iblock/980/9807acba05a4c1ef0b968f33b49c3cf2.jpg https://kino-bank.com//upload/iblock/9b7/9b7c823b10091c39027eb823ee0bed89.jpg https://kino-bank.com//upload/iblock/887/887bcef2aadd121f34bf8f57c78f6a82.jpg https://kino-bank.com//upload/iblock/2a6/2a6df7cb155bf71068b7a3dd9d3f46c9.jpg https://kino-bank.com//upload/iblock/517/5175c57340dedb0754f90d4a969a62b1.jpg https://kino-bank.com//upload/iblock/bce/bce1aaf9938cabe885cb3b59924ac5e3.jpg,,0
https://kino-bank.com/listings/kvartira-v-stile-loft/,"Квартира в стиле лофт Квартира в стиле лофт с высокими потолками 2,75 м. ",https://kino-bank.com//upload/iblock/aca/acade8affb0d74534af836996c30da87.jpg https://kino-bank.com//upload/iblock/311/311da67dcab61641f61b78de0f1cd085.jpg https://kino-bank.com//upload/iblock/39d/39d40b36cf183d011932c79ecfadb6cb.jpg https://kino-bank.com//upload/iblock/75d/75d9fc6d0fde2e5c7237dc87a3402196.jpg https://kino-bank.com//upload/iblock/b95/b9501e2ce57b09c9d26b262501db7d37.jpg https://kino-bank.com//upload/iblock/df3/df38b30fd99035be8b6e4d998fe94eef.jpg,,0
https://kino-bank.com/listings/sovremennaya-2-kh-komnatnaya-kvartira-s-antikvarnoy-mebelyu/,Современная 2-х комнатная квартира с антикварной мебелью one,https://kino-bank.com//upload/iblock/753/753921044408da7353a6246631e76438.jpg https://kino-bank.com//upload/iblock/389/38953bdad6f223524cc522df39823497.jpg https://kino-bank.com//upload/iblock/a97/a97a313824c619be80462750fba6e69f.jpg https://kino-bank.com//upload/iblock/0be/0beef4dd827ce6c37926304e17dcfa2e.jpg https://kino-bank.com//upload/iblock/a60/a60a33b1cef26929fedd522f7ecedd29.jpg https://kino-bank.com//upload/iblock/977/977245e554598a94fca7c21a207e8255.jpg https://kino-bank.com//upload/iblock/f93/f93121b3eb5f0ba358c241dc2375cd29.jpg https://kino-bank.com//upload/iblock/2eb/2eb78ee815e153c38097b3fcfbc2bb5b.jpg https://kino-bank.com//upload/iblock/cf9/cf94adad4f77a2135686b0b3c5471938.jpg,,0
https://kino-bank.com/listings/minimalistichnaya-kvartira-s-vysokimi-potolkami/,Минималистичная квартира с высокими потолками one,https://kino-bank.com//upload/iblock/e7e/e7e16f3d148104c6ee6a4eb56759fbe0.gif https://kino-bank.com//upload/iblock/952/952c6af5e591bf9c06116448084e8137.gif https://kino-bank.com//upload/iblock/d93/d93525cda7d89313437b29ffb041f187.gif https://kino-bank.com//upload/iblock/038/03863cc625b413081d22cdccd154dc4e.gif https://kino-bank.com//upload/iblock/eed/eedc9953b5582eaf822adb237dea1b42.gif https://kino-bank.com//upload/iblock/47f/47f5b03f5ed9a92cccace186f25ec7d2.gif https://kino-bank.com//upload/iblock/3ff/3ff2f17d7890541b1dd0a14d8390b4fc.gif https://kino-bank.com//upload/iblock/8ab/8abb7daff714983f603fedda822b39c0.gif,,0
https://kino-bank.com/listings/kvartira-v-moskve-interer-v-stile-klassika/,"Квартира в Москве, интерьер в стиле классика Квартира сталинка, площадью, 80м2. В квартире 3 изолированные комнаты. ",https://kino-bank.com//upload/iblock/f35/f3514d7097015bc9bfa8711109f4d870.jpeg https://kino-bank.com//upload/iblock/2d2/2d2cb0eebac0d1d67fadaf54df456c73.jpeg https://kino-bank.com//upload/iblock/d9a/d9acf4a8b0914b328086b4b3135b88da.jpeg https://kino-bank.com//upload/iblock/591/591ebf66f6707a7063ff48bf59f77a51.jpeg https://kino-bank.com//upload/iblock/fee/fee98ccd7c9e6f01940b108a92e2c4b1.jpeg https://kino-bank.com//upload/iblock/73b/73b5b65ddd3f215524f7391f63f03f0e.jpeg https://kino-bank.com//upload/iblock/49e/49eb8578d9f62bbc9baa3001236b95d4.jpeg https://kino-bank.com//upload/iblock/96b/96b93ef9311658c40e7360c4fe75841a.jpeg https://kino-bank.com//upload/iblock/6f1/6f1231c7e829ca5ea2c6619da5060393.jpeg https://kino-bank.com//upload/iblock/736/736b6bf25a7b7b83264f6f69c10fa160.jpeg https://kino-bank.com//upload/iblock/581/5814eaf1002a3e3bc04b8be0a38b791b.jpeg https://kino-bank.com//upload/iblock/094/094d28790e5dac43b4b05efa7874f1de.jpeg,,0
https://kino-bank.com/listings/sovremennaya-kvartira-v-svetlykh-tonakh/,"Современная квартира в светлых тонах ",https://kino-bank.com//upload/iblock/b54/b5413afc71fee47d9b76b157d3cafc59.jpeg https://kino-bank.com//upload/iblock/06b/06becec3518dec74f3d974772d6e7640.jpeg https://kino-bank.com//upload/iblock/728/72827cd89b868e38493749357f98fe2f.jpeg https://kino-bank.com//upload/iblock/263/263ba3d4d745a6ae1ae058ca8dd28911.jpeg https://kino-bank.com//upload/iblock/870/870fb318b9a3fbaa350e622a70f435fc.jpeg https://kino-bank.com//upload/iblock/9c4/9c4dfd580a2c63c78191fd48ac0f5d04.jpeg https://kino-bank.com//upload/iblock/b5a/b5a12b05915d63bcce12d3ce3f2befad.jpeg https://kino-bank.com//upload/iblock/582/5829497b9b6dd4d3aa44069317bb8505.jpeg,,0
